id,province,curr_diagnose,sum_diagnose,death,cure,date,note
1,湖北,43445,48206,1310,3451,2020/2/12,
2,广东,950,1241,10,289,2020/2/12,
3,河南,873,1169,9,286,2020/2/12,
4,浙江,786,1145,5,359,2020/2/12,
5,湖南,636,968,4,330,2020/2/12,
6,安徽,756,910,3,149,2020/2/12,
7,江西,701,872,3,170,2020/2/12,
8,江苏,437,570,3,133,2020/2/12,
9,重庆,408,525,3,114,2020/2/12,
10,山东,403,509,2,104,2020/2/12,
11,四川,349,451,2,101,2020/2/12,
12,黑龙江,354,395,2,32,2020/2/12,
13,北京,295,366,2,68,2020/2/12,
14,上海,252,315,2,62,2020/2/12,
15,福建,225,279,1,54,2020/2/12,
16,河北,196,265,1,66,2020/2/12,
17,陕西,184,229,1,45,2020/2/12,
18,广西,187,222,1,33,2020/2/12,
19,海南,126,157,1,27,2020/2/12,
20,云南,129,156,1,27,2020/2/12,
21,贵州,114,135,1,20,2020/2/12,
22,山西,93,126,0,33,2020/2/12,
23,天津,103,117,0,11,2020/2/12,
24,辽宁,94,116,0,21,2020/2/12,
25,甘肃,51,87,0,34,2020/2/12,
26,吉林,61,84,0,22,2020/2/12,
27,宁夏,40,64,0,24,2020/2/12,
28,新疆,59,63,0,3,2020/2/12,
29,内蒙古,55,61,0,6,2020/2/12,
30,香港,49,51,0,1,2020/2/12,
31,台湾,17,18,0,1,2020/2/12,
32,青海,7,18,0,11,2020/2/12,
33,澳门,8,10,0,2,2020/2/12,
34,西藏,0,1,0,1,2020/2/12,
35,湖北,46768,51986,1318,3900,2020/2/13,
36,广东,911,1261,2,348,2020/2/13,
37,河南,823,1184,11,350,2020/2/13,
38,浙江,763,1155,0,392,2020/2/13,
39,安徽,744,934,6,184,2020/2/13,
40,江西,712,900,1,187,2020/2/13,
41,湖南,622,988,2,364,2020/2/13,
42,江苏,436,593,0,157,2020/2/13,
43,重庆,388,532,5,139,2020/2/13,
44,山东,385,523,2,136,2020/2/13,
45,黑龙江,361,418,11,46,2020/2/13,
46,四川,348,463,1,114,2020/2/13,
47,北京,289,372,3,80,2020/2/13,
48,上海,227,318,1,90,2020/2/13,
49,福建,218,281,0,63,2020/2/13,
50,河北,193,283,3,87,2020/2/13,
51,广西,189,226,2,35,2020/2/13,
52,陕西,181,230,0,49,2020/2/13,
53,云南,127,162,0,35,2020/2/13,
54,海南,115,158,4,39,2020/2/13,
55,贵州,111,140,1,28,2020/2/13,
56,山西,88,126,0,38,2020/2/13,
57,辽宁,87,117,1,29,2020/2/13,
58,天津,86,120,3,31,2020/2/13,
59,吉林,60,86,1,25,2020/2/13,
60,内蒙古,59,65,0,6,2020/2/13,
61,新疆,58,65,1,6,2020/2/13,
62,香港,54,56,1,1,2020/2/13,
63,甘肃,49,90,2,39,2020/2/13,
64,宁夏,43,67,0,24,2020/2/13,
65,台湾,16,18,0,2,2020/2/13,
66,澳门,7,10,0,3,2020/2/13,
67,青海,7,18,0,11,2020/2/13,
68,西藏,0,1,0,1,2020/2/13,
69,湖北,48175,54406,1457,4774,2020/2/14,
70,广东,887,1294,2,405,2020/2/14,
71,河南,828,1212,13,371,2020/2/14,
72,浙江,752,1162,0,410,2020/2/14,
73,安徽,739,950,6,205,2020/2/14,
74,江西,702,913,1,210,2020/2/14,
75,湖南,609,1001,2,390,2020/2/14,
76,江苏,433,604,0,171,2020/2/14,
77,山东,385,530,2,143,2020/2/14,
78,重庆,380,537,5,152,2020/2/14,
79,黑龙江,366,425,11,48,2020/2/14,
80,四川,353,470,1,116,2020/2/14,
81,北京,287,372,3,82,2020/2/14,
82,福建,219,285,0,66,2020/2/14,
83,上海,201,326,1,124,2020/2/14,
84,河北,201,291,3,87,2020/2/14,
85,广西,193,235,2,40,2020/2/14,
86,陕西,178,232,0,54,2020/2/14,
87,云南,123,162,0,39,2020/2/14,
88,海南,120,162,4,38,2020/2/14,
89,贵州,103,143,1,39,2020/2/14,
90,辽宁,89,119,1,29,2020/2/14,
91,山西,89,127,0,38,2020/2/14,
92,天津,86,121,3,32,2020/2/14,
93,新疆,63,70,1,6,2020/2/14,
94,吉林,62,88,1,25,2020/2/14,
95,内蒙古,62,68,0,6,2020/2/14,
96,香港,54,56,1,1,2020/2/14,
97,甘肃,49,90,2,39,2020/2/14,
98,宁夏,43,70,0,27,2020/2/14,
99,台湾,16,18,0,2,2020/2/14,
100,澳门,7,10,0,3,2020/2/14,
101,青海,7,18,0,11,2020/2/14,
102,西藏,0,1,0,1,2020/2/14,
103,湖北,49030,56249,1596,5623,2020/2/15,
104,广东,876,1316,2,438,2020/2/15,
105,河南,797,1231,13,421,2020/2/15,
106,浙江,726,1167,0,441,2020/2/15,
107,安徽,707,962,6,249,2020/2/15,
108,江西,685,925,1,239,2020/2/15,
109,湖南,549,1004,3,452,2020/2/15,
110,江苏,408,617,0,209,2020/2/15,
111,山东,369,537,2,166,2020/2/15,
112,黑龙江,361,445,11,73,2020/2/15,
113,重庆,355,544,5,184,2020/2/15,
114,四川,348,481,3,130,2020/2/15,
115,北京,271,380,4,105,2020/2/15,
116,福建,208,287,0,79,2020/2/15,
117,河北,194,300,3,103,2020/2/15,
118,广西,189,237,2,46,2020/2/15,
119,上海,187,328,1,140,2020/2/15,
120,陕西,172,236,0,64,2020/2/15,
121,云南,127,169,0,42,2020/2/15,
122,海南,119,162,4,39,2020/2/15,
123,贵州,102,144,1,41,2020/2/15,
124,天津,84,124,3,37,2020/2/15,
125,辽宁,84,120,1,35,2020/2/15,
126,山西,82,128,0,46,2020/2/15,
127,内蒙古,63,70,0,7,2020/2/15,
128,吉林,60,89,1,28,2020/2/15,
129,新疆,59,71,1,11,2020/2/15,
130,香港,54,56,1,1,2020/2/15,
131,甘肃,39,90,2,49,2020/2/15,
132,宁夏,37,70,0,33,2020/2/15,
133,台湾,16,18,0,2,2020/2/15,
134,澳门,7,10,0,3,2020/2/15,
135,青海,5,18,0,13,2020/2/15,
136,西藏,0,1,0,1,2020/2/15,
137,湖北,49847,58182,1696,6639,2020/2/16,
138,广东,845,1322,4,473,2020/2/16,
139,河南,790,1246,16,440,2020/2/16,
140,浙江,701,1171,0,470,2020/2/16,
141,安徽,701,973,6,266,2020/2/16,
142,江西,654,930,1,275,2020/2/16,
143,湖南,536,1006,3,467,2020/2/16,
144,江苏,400,626,0,226,2020/2/16,
145,黑龙江,366,457,11,80,2020/2/16,
146,山东,364,541,2,175,2020/2/16,
147,四川,356,495,3,136,2020/2/16,
148,重庆,339,551,5,207,2020/2/16,
149,北京,263,381,4,114,2020/2/16,
150,福建,206,290,0,84,2020/2/16,
151,上海,190,331,1,140,2020/2/16,
152,河北,189,301,3,109,2020/2/16,
153,广西,185,238,2,51,2020/2/16,
154,陕西,166,240,0,74,2020/2/16,
155,云南,129,171,0,42,2020/2/16,
156,海南,106,162,4,52,2020/2/16,
157,贵州,98,146,1,47,2020/2/16,
158,辽宁,79,121,1,41,2020/2/16,
159,山西,79,129,0,50,2020/2/16,
160,天津,76,124,3,45,2020/2/16,
161,内蒙古,64,72,0,8,2020/2/16,
162,新疆,62,75,1,12,2020/2/16,
163,吉林,58,89,1,30,2020/2/16,
164,香港,54,57,1,2,2020/2/16,
165,宁夏,37,70,0,33,2020/2/16,
166,甘肃,34,90,2,54,2020/2/16,
167,台湾,17,20,1,2,2020/2/16,
168,澳门,5,10,0,5,2020/2/16,
169,青海,5,18,0,13,2020/2/16,
170,西藏,0,1,0,1,2020/2/16,
171,湖北,50338,59989,1789,7862,2020/2/17,
172,广东,794,1322,4,524,2020/2/17,
173,河南,721,1246,16,509,2020/2/17,
174,安徽,687,973,6,280,2020/2/17,
175,浙江,664,1171,0,507,2020/2/17,
176,江西,654,930,1,275,2020/2/17,
177,湖南,505,1006,3,498,2020/2/17,
178,黑龙江,368,464,11,85,2020/2/17,
179,江苏,368,626,0,258,2020/2/17,
180,山东,348,541,2,191,2020/2/17,
181,四川,336,495,3,156,2020/2/17,
182,重庆,323,553,5,225,2020/2/17,
183,北京,263,381,4,114,2020/2/17,
184,福建,201,292,0,91,2020/2/17,
185,广西,182,242,2,58,2020/2/17,
186,河北,175,302,4,123,2020/2/17,
187,上海,171,333,1,161,2020/2/17,
188,陕西,161,240,0,79,2020/2/17,
189,云南,124,171,0,47,2020/2/17,
190,海南,100,163,4,59,2020/2/17,
191,贵州,88,146,1,57,2020/2/17,
192,辽宁,77,121,1,43,2020/2/17,
193,山西,77,130,0,53,2020/2/17,
194,天津,76,125,3,46,2020/2/17,
195,内蒙古,64,72,0,8,2020/2/17,
196,新疆,62,75,1,12,2020/2/17,
197,香港,57,60,1,2,2020/2/17,
198,吉林,54,89,1,34,2020/2/17,
199,宁夏,35,70,0,35,2020/2/17,
200,甘肃,31,91,2,58,2020/2/17,
201,台湾,19,22,1,2,2020/2/17,
202,澳门,5,10,0,5,2020/2/17,
203,青海,5,18,0,13,2020/2/17,
204,西藏,0,1,0,1,2020/2/17,
205,湖北,50633,61682,1921,9128,2020/2/18,
206,广东,759,1328,4,565,2020/2/18,
207,河南,716,1257,19,522,2020/2/18,
208,浙江,637,1172,0,535,2020/2/18,
209,江西,622,933,1,310,2020/2/18,
210,安徽,615,982,6,361,2020/2/18,
211,湖南,476,1007,4,527,2020/2/18,
212,黑龙江,350,470,12,108,2020/2/18,
213,江苏,349,629,0,280,2020/2/18,
214,四川,336,508,3,169,2020/2/18,
215,山东,326,544,3,215,2020/2/18,
216,重庆,296,555,5,254,2020/2/18,
217,北京,261,387,4,122,2020/2/18,
218,福建,197,293,0,96,2020/2/18,
219,广西,166,244,2,76,2020/2/18,
220,河北,166,306,4,136,2020/2/18,
221,上海,155,333,1,177,2020/2/18,
222,陕西,151,240,0,89,2020/2/18,
223,云南,115,172,0,57,2020/2/18,
224,海南,80,163,4,79,2020/2/18,
225,贵州,78,146,2,66,2020/2/18,
226,天津,77,128,3,48,2020/2/18,
227,山西,70,131,0,61,2020/2/18,
228,辽宁,67,121,1,53,2020/2/18,
229,内蒙古,65,73,0,8,2020/2/18,
230,新疆,63,76,1,12,2020/2/18,
231,香港,59,62,1,2,2020/2/18,
232,吉林,53,90,1,36,2020/2/18,
233,宁夏,28,70,0,42,2020/2/18,
234,甘肃,27,91,2,62,2020/2/18,
235,台湾,19,22,1,2,2020/2/18,
236,澳门,5,10,0,5,2020/2/18,
237,青海,3,18,0,15,2020/2/18,
238,西藏,0,1,0,1,2020/2/18,
239,湖北,49665,62031,2029,10337,2020/2/19,
240,广东,720,1331,5,606,2020/2/19,
241,河南,670,1262,19,573,2020/2/19,
242,江西,571,934,1,362,2020/2/19,
243,浙江,570,1174,0,604,2020/2/19,
244,安徽,567,986,6,413,2020/2/19,
245,湖南,443,1008,4,561,2020/2/19,
246,黑龙江,341,476,12,123,2020/2/19,
247,四川,323,514,3,188,2020/2/19,
248,江苏,313,631,0,318,2020/2/19,
249,山东,304,546,4,238,2020/2/19,
250,重庆,281,560,5,274,2020/2/19,
251,北京,244,393,4,145,2020/2/19,
252,福建,181,293,0,112,2020/2/19,
253,广西,156,245,2,87,2020/2/19,
254,河北,150,307,5,152,2020/2/19,
255,上海,145,333,2,186,2020/2/19,
256,陕西,140,242,0,102,2020/2/19,
257,云南,111,172,1,60,2020/2/19,
258,海南,80,168,4,84,2020/2/19,
259,贵州,74,146,2,70,2020/2/19,
260,天津,73,130,3,54,2020/2/19,
261,辽宁,65,121,1,55,2020/2/19,
262,内蒙古,64,75,0,11,2020/2/19,
263,山西,63,131,0,68,2020/2/19,
264,香港,56,63,2,5,2020/2/19,
265,新疆,55,76,1,20,2020/2/19,
266,吉林,52,90,1,37,2020/2/19,
267,宁夏,29,71,0,42,2020/2/19,
268,甘肃,24,91,2,65,2020/2/19,
269,台湾,20,23,1,2,2020/2/19,
270,澳门,5,10,0,5,2020/2/19,
271,青海,2,18,0,16,2020/2/19,
272,西藏,0,1,0,1,2020/2/19,
273,湖北,48510,62442,2144,11788,2020/2/20,
274,广东,685,1332,5,642,2020/2/20,
275,浙江,541,1175,1,633,2020/2/20,
276,河南,531,1267,19,717,2020/2/20,
277,江西,500,934,1,433,2020/2/20,
278,安徽,482,988,6,500,2020/2/20,
279,湖南,372,1010,4,634,2020/2/20,
280,黑龙江,326,479,12,141,2020/2/20,
281,四川,300,520,3,217,2020/2/20,
282,山东,288,546,4,254,2020/2/20,
283,江苏,275,631,0,356,2020/2/20,
284,重庆,262,567,6,299,2020/2/20,
285,北京,238,395,4,153,2020/2/20,
286,福建,158,293,1,134,2020/2/20,
287,广西,149,246,2,95,2020/2/20,
288,上海,133,334,2,199,2020/2/20,
289,河北,133,308,5,170,2020/2/20,
290,陕西,126,245,1,118,2020/2/20,
291,云南,93,174,2,79,2020/2/20,
292,海南,75,168,4,89,2020/2/20,
293,贵州,72,146,2,72,2020/2/20,
294,天津,69,131,3,59,2020/2/20,
295,辽宁,61,121,1,59,2020/2/20,
296,香港,60,68,2,6,2020/2/20,
297,内蒙古,59,75,0,16,2020/2/20,
298,山西,56,132,0,76,2020/2/20,
299,新疆,53,76,1,22,2020/2/20,
300,吉林,46,91,1,44,2020/2/20,
301,宁夏,27,71,0,44,2020/2/20,
302,台湾,21,24,1,2,2020/2/20,
303,甘肃,18,91,2,71,2020/2/20,
304,澳门,4,10,0,6,2020/2/20,
305,青海,2,18,0,16,2020/2/20,
306,西藏,0,1,0,1,2020/2/20,
307,湖北,49063,63088,2144,11881,2020/2/21,
308,广东,638,1333,5,690,2020/2/21,
309,浙江,523,1203,1,679,2020/2/21,
310,河南,512,1267,19,736,2020/2/21,
311,山东,464,749,4,281,2020/2/21,
312,江西,444,934,1,489,2020/2/21,
313,安徽,443,988,6,539,2020/2/21,
314,湖南,346,1011,4,661,2020/2/21,
315,四川,291,525,3,231,2020/2/21,
316,黑龙江,284,479,12,183,2020/2/21,
317,江苏,258,631,0,373,2020/2/21,
318,重庆,250,572,6,316,2020/2/21,
319,北京,223,396,4,169,2020/2/21,
320,广西,147,246,2,97,2020/2/21,
321,福建,143,293,1,149,2020/2/21,
322,上海,121,334,2,211,2020/2/21,
323,河北,119,309,6,184,2020/2/21,
324,陕西,110,245,1,134,2020/2/21,
325,云南,76,174,2,96,2020/2/21,
326,海南,69,168,4,95,2020/2/21,
327,贵州,67,146,2,77,2020/2/21,
328,天津,67,132,3,62,2020/2/21,
329,香港,61,68,2,5,2020/2/21,
330,辽宁,59,121,1,61,2020/2/21,
331,内蒙古,58,75,0,17,2020/2/21,
332,山西,54,132,0,78,2020/2/21,
333,新疆,51,76,1,24,2020/2/21,
334,吉林,45,91,1,45,2020/2/21,
335,宁夏,23,71,0,48,2020/2/21,
336,台湾,23,26,1,2,2020/2/21,
337,甘肃,13,91,2,76,2020/2/21,
338,澳门,4,10,0,6,2020/2/21,
339,青海,0,18,0,18,2020/2/21,
340,西藏,0,1,0,1,2020/2/21,
341,湖北,46439,64084,2346,15299,2020/2/22,
342,广东,606,1339,5,728,2020/2/22,
343,浙江,485,1205,1,719,2020/2/22,
344,山东,444,750,4,302,2020/2/22,
345,河南,391,1271,19,861,2020/2/22,
346,安徽,386,989,6,597,2020/2/22,
347,江西,378,934,1,555,2020/2/22,
348,湖南,317,1013,4,692,2020/2/22,
349,四川,273,526,3,250,2020/2/22,
350,黑龙江,253,480,12,215,2020/2/22,
351,重庆,239,573,6,328,2020/2/22,
352,江苏,230,631,0,401,2020/2/22,
353,北京,217,399,4,178,2020/2/22,
354,广西,143,249,2,104,2020/2/22,
355,福建,130,293,1,162,2020/2/22,
356,上海,105,335,3,227,2020/2/22,
357,河北,101,311,6,204,2020/2/22,
358,陕西,95,245,1,149,2020/2/22,
359,天津,67,135,3,65,2020/2/22,
360,云南,65,174,2,107,2020/2/22,
361,香港,61,69,2,6,2020/2/22,
362,海南,60,168,4,104,2020/2/22,
363,贵州,54,146,2,90,2020/2/22,
364,辽宁,52,121,1,68,2020/2/22,
365,山西,51,132,0,81,2020/2/22,
366,内蒙古,49,75,0,26,2020/2/22,
367,新疆,49,76,2,25,2020/2/22,
368,吉林,38,91,1,52,2020/2/22,
369,宁夏,23,71,0,48,2020/2/22,
370,台湾,23,26,1,2,2020/2/22,
371,甘肃,13,91,2,76,2020/2/22,
372,澳门,4,10,0,6,2020/2/22,
373,青海,0,18,0,18,2020/2/22,
374,西藏,0,1,0,1,2020/2/22,
375,湖北,46395,64084,2346,15343,2020/2/23,
376,广东,581,1342,6,755,2020/2/23,
377,浙江,444,1205,1,760,2020/2/23,
378,山东,426,755,4,325,2020/2/23,
379,安徽,335,989,6,648,2020/2/23,
380,河南,322,1271,19,930,2020/2/23,
381,江西,320,934,1,613,2020/2/23,
382,湖南,291,1016,4,721,2020/2/23,
383,四川,261,527,3,263,2020/2/23,
384,黑龙江,244,480,12,224,2020/2/23,
385,重庆,234,575,6,335,2020/2/23,
386,江苏,204,631,0,427,2020/2/23,
387,北京,197,399,4,198,2020/2/23,
388,广西,142,251,2,107,2020/2/23,
389,福建,118,293,1,174,2020/2/23,
390,河北,84,311,6,221,2020/2/23,
391,上海,83,335,3,249,2020/2/23,
392,陕西,82,245,1,162,2020/2/23,
393,香港,61,74,2,11,2020/2/23,
394,云南,57,174,2,115,2020/2/23,
395,海南,57,168,5,106,2020/2/23,
396,天津,51,135,3,81,2020/2/23,
397,辽宁,47,121,1,73,2020/2/23,
398,新疆,46,76,2,28,2020/2/23,
399,内蒙古,45,75,0,30,2020/2/23,
400,山西,44,132,0,88,2020/2/23,
401,贵州,42,146,2,102,2020/2/23,
402,吉林,38,93,1,54,2020/2/23,
403,台湾,25,28,1,2,2020/2/23,
404,宁夏,15,71,0,56,2020/2/23,
405,甘肃,11,91,2,78,2020/2/23,
406,澳门,4,10,0,6,2020/2/23,
407,青海,0,18,0,18,2020/2/23,
408,西藏,0,1,0,1,2020/2/23,
409,湖北,45044,64287,2495,16748,2020/2/24,
410,广东,553,1345,6,786,2020/2/24,
411,浙江,422,1205,1,782,2020/2/24,
412,山东,406,755,6,343,2020/2/24,
413,安徽,320,989,6,663,2020/2/24,
414,河南,309,1271,19,943,2020/2/24,
415,江西,288,934,1,645,2020/2/24,
416,湖南,281,1016,4,731,2020/2/24,
417,四川,248,527,3,276,2020/2/24,
418,黑龙江,236,480,12,232,2020/2/24,
419,重庆,221,576,6,349,2020/2/24,
420,北京,197,399,4,198,2020/2/24,
421,江苏,179,631,0,452,2020/2/24,
422,广西,121,252,2,129,2020/2/24,
423,福建,109,293,1,183,2020/2/24,
424,上海,71,335,3,261,2020/2/24,
425,陕西,71,245,1,173,2020/2/24,
426,河北,64,311,6,241,2020/2/24,
427,香港,58,79,2,19,2020/2/24,
428,云南,48,174,2,124,2020/2/24,
429,海南,47,168,5,116,2020/2/24,
430,天津,45,135,3,87,2020/2/24,
431,新疆,44,76,2,30,2020/2/24,
432,贵州,42,146,2,102,2020/2/24,
433,内蒙古,41,75,0,34,2020/2/24,
434,山西,39,133,0,94,2020/2/24,
435,辽宁,37,121,1,83,2020/2/24,
436,吉林,32,93,1,60,2020/2/24,
437,台湾,24,30,1,5,2020/2/24,
438,宁夏,13,71,0,58,2020/2/24,
439,甘肃,9,91,2,80,2020/2/24,
440,澳门,4,10,0,6,2020/2/24,
441,青海,0,18,0,18,2020/2/24,
442,西藏,0,1,0,1,2020/2/24,
443,湖北,43252,64786,2563,18971,2020/2/25,
444,广东,518,1347,7,822,2020/2/25,
445,浙江,396,1205,1,808,2020/2/25,
446,山东,393,756,6,357,2020/2/25,
447,安徽,271,989,6,712,2020/2/25,
448,江西,250,934,1,683,2020/2/25,
449,湖南,244,1016,4,768,2020/2/25,
450,四川,237,529,3,289,2020/2/25,
451,河南,229,1271,19,1023,2020/2/25,
452,黑龙江,223,480,12,245,2020/2/25,
453,重庆,198,576,6,372,2020/2/25,
454,北京,181,400,4,215,2020/2/25,
455,江苏,173,631,0,458,2020/2/25,
456,广西,112,252,2,138,2020/2/25,
457,福建,88,294,1,205,2020/2/25,
458,上海,65,336,3,268,2020/2/25,
459,香港,63,84,2,19,2020/2/25,
460,河北,58,312,6,248,2020/2/25,
461,陕西,58,245,1,186,2020/2/25,
462,新疆,44,76,2,30,2020/2/25,
463,云南,43,174,2,129,2020/2/25,
464,天津,41,135,3,91,2020/2/25,
465,贵州,40,146,2,104,2020/2/25,
466,内蒙古,40,75,0,35,2020/2/25,
467,海南,39,168,5,124,2020/2/25,
468,山西,35,133,0,98,2020/2/25,
469,辽宁,32,121,1,88,2020/2/25,
470,吉林,29,93,1,63,2020/2/25,
471,台湾,25,31,1,5,2020/2/25,
472,宁夏,10,71,0,61,2020/2/25,
473,甘肃,9,91,2,80,2020/2/25,
474,澳门,3,10,0,7,2020/2/25,
475,青海,0,18,0,18,2020/2/25,
476,西藏,0,1,0,1,2020/2/25,
477,湖北,41603,65187,2615,20969,2020/2/26,
478,广东,489,1347,7,851,2020/2/26,
479,山东,369,756,6,381,2020/2/26,
480,浙江,337,1205,1,867,2020/2/26,
481,安徽,239,989,6,744,2020/2/26,
482,湖南,229,1016,4,783,2020/2/26,
483,四川,221,534,3,310,2020/2/26,
484,江西,214,934,1,719,2020/2/26,
485,黑龙江,205,480,13,262,2020/2/26,
486,河南,190,1272,20,1062,2020/2/26,
487,重庆,186,576,6,384,2020/2/26,
488,北京,161,400,4,235,2020/2/26,
489,江苏,153,631,0,478,2020/2/26,
490,广西,91,252,2,159,2020/2/26,
491,福建,70,296,1,225,2020/2/26,
492,香港,65,91,2,24,2020/2/26,
493,上海,62,337,3,272,2020/2/26,
494,陕西,52,245,1,192,2020/2/26,
495,河北,50,317,6,261,2020/2/26,
496,新疆,40,76,2,34,2020/2/26,
497,内蒙古,37,75,0,38,2020/2/26,
498,天津,36,135,3,96,2020/2/26,
499,海南,34,168,5,129,2020/2/26,
500,贵州,32,146,2,112,2020/2/26,
501,山西,29,133,0,104,2020/2/26,
502,云南,28,174,2,144,2020/2/26,
503,辽宁,28,121,1,92,2020/2/26,
504,吉林,27,93,1,65,2020/2/26,
505,台湾,26,32,1,5,2020/2/26,
506,甘肃,8,91,2,81,2020/2/26,
507,宁夏,6,71,0,65,2020/2/26,
508,澳门,3,10,0,7,2020/2/26,
509,青海,0,18,0,18,2020/2/26,
510,西藏,0,1,0,1,2020/2/26,
511,湖北,36829,65914,2682,26403,2020/2/27,
512,广东,450,1347,7,890,2020/2/27,
513,山东,363,756,6,387,2020/2/27,
514,浙江,272,1205,1,932,2020/2/27,
515,四川,210,534,3,321,2020/2/27,
516,湖南,209,1017,4,804,2020/2/27,
517,安徽,191,989,6,792,2020/2/27,
518,黑龙江,187,480,13,280,2020/2/27,
519,河南,184,1272,20,1068,2020/2/27,
520,江西,179,934,1,754,2020/2/27,
521,重庆,169,576,6,401,2020/2/27,
522,北京,157,410,5,248,2020/2/27,
523,江苏,133,631,0,498,2020/2/27,
524,广西,84,252,2,166,2020/2/27,
525,香港,66,92,2,24,2020/2/27,
526,福建,63,296,1,232,2020/2/27,
527,上海,58,337,3,276,2020/2/27,
528,陕西,49,245,1,195,2020/2/27,
529,河北,38,318,6,274,2020/2/27,
530,贵州,32,146,2,112,2020/2/27,
531,海南,32,168,5,131,2020/2/27,
532,内蒙古,32,75,0,43,2020/2/27,
533,天津,31,136,3,102,2020/2/27,
534,新疆,31,76,2,43,2020/2/27,
535,辽宁,27,121,1,93,2020/2/27,
536,台湾,26,32,1,5,2020/2/27,
537,山西,26,133,0,107,2020/2/27,
538,吉林,24,93,1,68,2020/2/27,
539,云南,22,174,2,150,2020/2/27,
540,甘肃,8,91,2,81,2020/2/27,
541,宁夏,4,72,0,68,2020/2/27,
542,澳门,2,10,0,8,2020/2/27,
543,青海,0,18,0,18,2020/2/27,
544,西藏,0,1,0,1,2020/2/27,
545,湖北,34617,66337,2727,28993,2020/2/28,
546,广东,359,1349,7,983,2020/2/28,
547,山东,329,756,6,421,2020/2/28,
548,浙江,188,1205,1,1016,2020/2/28,
549,四川,184,538,3,351,2020/2/28,
550,湖南,168,1018,4,846,2020/2/28,
551,黑龙江,166,480,13,301,2020/2/28,
552,重庆,148,576,6,422,2020/2/28,
553,北京,132,411,8,271,2020/2/28,
554,江西,123,935,1,811,2020/2/28,
555,安徽,116,990,6,868,2020/2/28,
556,江苏,108,631,0,523,2020/2/28,
557,河南,81,1272,21,1170,2020/2/28,
558,广西,74,252,2,176,2020/2/28,
559,香港,62,94,2,30,2020/2/28,
560,福建,52,296,1,243,2020/2/28,
561,上海,47,337,3,287,2020/2/28,
562,陕西,37,245,1,207,2020/2/28,
563,贵州,32,146,2,112,2020/2/28,
564,河北,30,318,6,282,2020/2/28,
565,台湾,29,39,1,9,2020/2/28,
566,内蒙古,26,75,0,49,2020/2/28,
567,天津,24,136,3,109,2020/2/28,
568,辽宁,24,121,1,96,2020/2/28,
569,山西,20,133,0,113,2020/2/28,
570,吉林,17,93,1,75,2020/2/28,
571,海南,16,168,5,147,2020/2/28,
572,云南,15,174,2,157,2020/2/28,
573,新疆,11,76,3,62,2020/2/28,
574,甘肃,7,91,2,82,2020/2/28,
575,宁夏,4,73,0,69,2020/2/28,
576,澳门,2,10,0,8,2020/2/28,
577,青海,0,18,0,18,2020/2/28,
578,西藏,0,1,0,1,2020/2/28,
579,湖北,32959,66907,2761,31187,2020/2/29,
580,广东,333,1349,7,1009,2020/2/29,
581,山东,319,756,6,431,2020/2/29,
582,浙江,177,1205,1,1027,2020/2/29,
583,四川,172,538,3,363,2020/2/29,
584,湖南,161,1018,4,853,2020/2/29,
585,黑龙江,137,480,13,330,2020/2/29,
586,重庆,132,576,6,438,2020/2/29,
587,北京,129,413,8,276,2020/2/29,
588,安徽,116,990,6,868,2020/2/29,
589,江西,103,935,1,831,2020/2/29,
590,江苏,102,631,0,529,2020/2/29,
591,广西,71,252,2,179,2020/2/29,
592,河南,65,1272,22,1185,2020/2/29,
593,香港,60,95,2,33,2020/2/29,
594,福建,52,296,1,243,2020/2/29,
595,上海,47,337,3,287,2020/2/29,
596,陕西,37,245,1,207,2020/2/29,
597,贵州,32,146,2,112,2020/2/29,
598,台湾,29,39,1,9,2020/2/29,
599,河北,29,318,6,283,2020/2/29,
600,天津,24,136,3,109,2020/2/29,
601,内蒙古,24,75,0,51,2020/2/29,
602,辽宁,20,122,1,101,2020/2/29,
603,山西,19,133,0,114,2020/2/29,
604,吉林,17,93,1,75,2020/2/29,
605,云南,15,174,2,157,2020/2/29,
606,海南,15,168,5,148,2020/2/29,
607,新疆,11,76,3,62,2020/2/29,
608,甘肃,7,91,2,82,2020/2/29,
609,宁夏,4,73,0,69,2020/2/29,
610,澳门,2,10,0,8,2020/2/29,
611,青海,0,18,0,18,2020/2/29,
612,西藏,0,1,0,1,2020/2/29,
613,湖北,30543,67103,2803,33757,2020/3/1,
614,广东,309,1350,7,1034,2020/3/1,
615,山东,297,758,6,455,2020/3/1,
616,四川,157,538,3,378,2020/3/1,
617,浙江,154,1205,1,1050,2020/3/1,
618,湖南,138,1018,4,876,2020/3/1,
619,北京,129,413,8,276,2020/3/1,
620,重庆,120,576,6,450,2020/3/1,
621,黑龙江,117,480,13,350,2020/3/1,
622,安徽,96,990,6,888,2020/3/1,
623,江苏,95,631,0,536,2020/3/1,
624,江西,84,935,1,850,2020/3/1,
625,广西,62,252,2,188,2020/3/1,
626,香港,60,98,2,36,2020/3/1,
627,福建,48,296,1,247,2020/3/1,
628,河南,45,1272,22,1205,2020/3/1,
629,上海,44,337,3,290,2020/3/1,
630,陕西,35,245,1,209,2020/3/1,
631,贵州,30,146,2,114,2020/3/1,
632,台湾,27,40,1,12,2020/3/1,
633,内蒙古,23,75,0,52,2020/3/1,
634,天津,22,136,3,111,2020/3/1,
635,辽宁,18,122,1,103,2020/3/1,
